"name" "continent"	"date"	"isUpdated"	"confirmAdd"	"confirmAddCut"	"confirm"	"suspect"	"dead"	"heal"	"nowConfirm"	"confirmCompare"	"nowConfirmCompare"	"healCompare"	"deadCompare"
"莫桑比克"	"非洲"	"12.14"	"False"	"142"	"0"	"16954"	"0"	"142"	"14818"	"1994"	"142"	"117"	"23"	"2"
"纳米比亚"	"非洲"	"12.14"	"False"	"267"	"0"	"16536"	"0"	"163"	"14837"	"1536"	"267"	"9"	"255"	"3"
"安哥拉"	"非洲"	"12.14"	"False"	"27"	"0"	"16188"	"0"	"371"	"8898"	"6919"	"27"	"-35"	"57"	"5"
"塞浦路斯"	"亚洲"	"12.14"	"False"	"301"	"0"	"15101"	"0"	"78"	"2057"	"12966"	"301"	"300"	"0"	"1"
"刚果（金）"	"非洲"	"12.14"	"False"	"119"	"0"	"14461"	"0"	"352"	"12465"	"1644"	"119"	"119"	"0"	"0"
"几内亚"	"非洲"	"12.14"	"False"	"11"	"0"	"13431"	"0"	"79"	"12667"	"685"	"11"	"1"	"10"	"0"
"马尔代夫"	"亚洲"	"12.14"	"False"	"20"	"0"	"13368"	"0"	"48"	"12706"	"614"	"20"	"-27"	"47"	"0"
"塔吉克斯坦"	"亚洲"	"12.14"	"False"	"37"	"0"	"12741"	"0"	"88"	"12172"	"481"	"37"	"-2"	"39"	"0"
"博茨瓦纳"	"非洲"	"12.14"	"False"	"0"	"0"	"12501"	"0"	"37"	"9940"	"2524"	"0"	"0"	"0"	"0"
"牙买加"	"北美洲"	"12.14"	"False"	"0"	"0"	"11710"	"0"	"273"	"7954"	"3483"	"0"	"0"	"0"	"0"
"佛得角"	"非洲"	"12.14"	"False"	"55"	"0"	"11357"	"0"	"110"	"10962"	"285"	"55"	"15"	"40"	"0"
"马耳他"	"欧洲"	"12.14"	"False"	"101"	"0"	"11254"	"0"	"174"	"9319"	"1761"	"101"	"-54"	"150"	"5"
"津巴布韦"	"非洲"	"12.14"	"False"	"27"	"0"	"11246"	"0"	"307"	"9451"	"1488"	"27"	"-65"	"92"	"0"
"毛里塔尼亚"	"非洲"	"12.14"	"False"	"191"	"0"	"10971"	"0"	"225"	"8076"	"2670"	"191"	"134"	"54"	"3"
"乌拉圭"	"南美洲"	"12.14"	"False"	"528"	"0"	"9708"	"0"	"92"	"6358"	"3258"	"528"	"324"	"203"	"1"
"海地"	"北美洲"	"12.14"	"False"	"0"	"0"	"9491"	"0"	"233"	"8241"	"1017"	"0"	"0"	"0"	"0"
"古巴"	"北美洲"	"12.14"	"False"	"69"	"0"	"9423"	"0"	"137"	"8434"	"852"	"69"	"6"	"63"	"0"
"加蓬"	"非洲"	"12.14"	"False"	"0"	"0"	"9330"	"0"	"63"	"9182"	"85"	"0"	"0"	"0"	"0"
"伯利兹"	"北美洲"	"12.14"	"False"	"122"	"0"	"9295"	"0"	"195"	"4321"	"4779"	"122"	"77"	"42"	"3"
"叙利亚"	"亚洲"	"12.14"	"False"	"125"	"0"	"9166"	"0"	"518"	"4376"	"4272"	"125"	"56"	"57"	"12"
"巴哈马"	"北美洲"	"12.14"	"False"	"15"	"0"	"7674"	"0"	"163"	"6070"	"1441"	"15"	"14"	"1"	"0"
"安道尔"	"欧洲"	"12.14"	"False"	"50"	"0"	"7338"	"0"	"79"	"6629"	"630"	"50"	"49"	"0"	"1"
"特立尼达和多巴哥"	""	"12.14"	"False"	"15"	"0"	"6879"	"0"	"122"	"6145"	"612"	"15"	"-4"	"19"	"0"
"斯威士兰"	"非洲"	"12.14"	"False"	"54"	"0"	"6768"	"0"	"127"	"6379"	"262"	"54"	"6"	"48"	"0"
"卢旺达"	"非洲"	"12.14"	"False"	"131"	"0"	"6659"	"0"	"56"	"5955"	"648"	"131"	"68"	"63"	"0"
"马拉维"	"非洲"	"12.14"	"False"	"3"	"0"	"6066"	"0"	"187"	"5491"	"388"	"3"	"2"	"0"	"1"
"刚果（布）"	"非洲"	"12.14"	"False"	"0"	"0"	"6049"	"0"	"99"	"4988"	"962"	"0"	"0"	"0"	"0"
"圭亚那"	"南美洲"	"12.14"	"False"	"41"	"0"	"5920"	"0"	"155"	"5073"	"692"	"41"	"11"	"29"	"1"
"尼加拉瓜"	"北美洲"	"12.14"	"False"	"0"	"0"	"5887"	"0"	"162"	"4225"	"1500"	"0"	"0"	"0"	"0"
"马里"	"非洲"	"12.14"	"False"	"93"	"0"	"5814"	"0"	"194"	"3591"	"2029"	"93"	"63"	"25"	"5"
"吉布提"	"非洲"	"12.14"	"False"	"3"	"0"	"5728"	"0"	"61"	"5618"	"49"	"3"	"-3"	"6"	"0"
"冰岛"	"欧洲"	"12.14"	"False"	"7"	"0"	"5564"	"0"	"28"	"5392"	"144"	"7"	"-19"	"26"	"0"
"苏里南"	"南美洲"	"12.14"	"False"	"13"	"0"	"5353"	"0"	"117"	"5224"	"12"	"13"	"10"	"3"	"0"
"赤道几内亚"	"非洲"	"12.14"	"False"	"0"	"0"	"5185"	"0"	"85"	"5058"	"42"	"0"	"0"	"0"	"0"
"中非共和国"	"非洲"	"12.14"	"False"	"0"	"0"	"4936"	"0"	"63"	"1924"	"2949"	"0"	"0"	"0"	"0"
"索马里"	"非洲"	"12.14"	"False"	"0"	"0"	"4579"	"0"	"121"	"3529"	"929"	"0"	"0"	"0"	"0"
"泰国"	"亚洲"	"12.14"	"False"	"28"	"0"	"4237"	"0"	"60"	"3940"	"237"	"28"	"11"	"17"	"0"
"布基纳法索"	"非洲"	"12.14"	"False"	"136"	"0"	"4030"	"0"	"71"	"2910"	"1049"	"136"	"84"	"52"	"0"
"冈比亚"	"非洲"	"12.14"	"False"	"3"	"0"	"3782"	"0"	"123"	"3647"	"12"	"3"	"1"	"2"	"0"
"多哥"	"非洲"	"12.14"	"False"	"30"	"0"	"3251"	"0"	"66"	"2771"	"414"	"30"	"4"	"26"	"0"
"贝宁"	"非洲"	"12.14"	"False"	"0"	"0"	"3090"	"0"	"44"	"2972"	"74"	"0"	"0"	"0"	"0"
"几内亚比绍"	"非洲"	"12.14"	"False"	"0"	"0"	"2444"	"0"	"44"	"2337"	"63"	"0"	"0"	"0"	"0"
"塞拉利昂"	"非洲"	"12.14"	"False"	"0"	"0"	"2440"	"0"	"75"	"1850"	"515"	"0"	"0"	"0"	"0"
"莱索托"	"非洲"	"12.14"	"False"	"27"	"0"	"2277"	"0"	"44"	"1340"	"893"	"27"	"6"	"21"	"0"
"尼日尔"	"非洲"	"12.14"	"False"	"59"	"0"	"2258"	"0"	"80"	"1292"	"886"	"59"	"43"	"16"	"0"
"新西兰"	"大洋洲"	"12.14"	"False"	"0"	"0"	"2096"	"0"	"25"	"2015"	"56"	"0"	"0"	"0"	"0"
"也门"	"亚洲"	"12.14"	"False"	"0"	"0"	"2083"	"0"	"606"	"1383"	"94"	"0"	"0"	"0"	"0"
"圣马力诺"	"欧洲"	"12.14"	"False"	"0"	"0"	"1932"	"0"	"51"	"1575"	"306"	"0"	"0"	"0"	"0"
"乍得"	"非洲"	"12.14"	"False"	"19"	"0"	"1770"	"0"	"102"	"1607"	"61"	"19"	"15"	"4"	"0"
"利比里亚"	"非洲"	"12.14"	"False"	"0"	"0"	"1676"	"0"	"83"	"1358"	"235"	"0"	"0"	"0"	"0"
"列支敦士登公国"	"欧洲"	"12.14"	"False"	"52"	"0"	"1566"	"0"	"20"	"1351"	"195"	"52"	"-3"	"55"	"0"
"越南"	"亚洲"	"12.14"	"False"	"5"	"0"	"1402"	"0"	"35"	"1246"	"121"	"5"	"0"	"5"	"0"
"蒙古"	"亚洲"	"12.14"	"False"	"5"	"0"	"912"	"0"	"0"	"384"	"528"	"5"	"5"	"0"	"0"
"布隆迪"	"非洲"	"12.14"	"False"	"1"	"0"	"729"	"0"	"1"	"640"	"88"	"1"	"1"	"0"	"0"
"巴布亚新几内亚"	"大洋洲"	"12.14"	"False"	"5"	"0"	"725"	"0"	"8"	"601"	"116"	"5"	"5"	"0"	"0"
"钻石号邮轮"	"其他"	"12.14"	"False"	"0"	"0"	"712"	"0"	"13"	"699"	"0"	"0"	"0"	"0"	"0"
"厄立特里亚"	"非洲"	"12.14"	"False"	"0"	"0"	"711"	"0"	"0"	"564"	"147"	"0"	"0"	"0"	"0"
"摩纳哥"	"欧洲"	"12.14"	"False"	"0"	"0"	"668"	"0"	"3"	"597"	"68"	"0"	"-1"	"1"	"0"
"科摩罗"	"非洲"	"12.14"	"False"	"0"	"0"	"628"	"0"	"7"	"606"	"15"	"0"	"0"	"0"	"0"
"毛里求斯"	"非洲"	"12.14"	"False"	"0"	"0"	"515"	"0"	"10"	"478"	"27"	"0"	"0"	"0"	"0"
"坦桑尼亚"	"非洲"	"12.14"	"False"	"0"	"0"	"509"	"0"	"21"	"183"	"305"	"0"	"0"	"0"	"0"
"不丹"	"亚洲"	"12.14"	"False"	"1"	"0"	"438"	"0"	"0"	"403"	"35"	"1"	"-2"	"3"	"0"
"柬埔寨"	"亚洲"	"12.14"	"False"	"0"	"0"	"359"	"0"	"0"	"309"	"50"	"0"	"-2"	"2"	"0"
"巴巴多斯"	"北美洲"	"12.14"	"False"	"0"	"0"	"292"	"0"	"7"	"269"	"16"	"0"	"0"	"0"	"0"
"圣卢西亚"	"北美洲"	"12.14"	"False"	"1"	"0"	"275"	"0"	"4"	"203"	"68"	"1"	"-5"	"6"	"0"
"塞舌尔"	"非洲"	"12.14"	"False"	"0"	"0"	"187"	"0"	"0"	"182"	"5"	"0"	"0"	"0"	"0"
"文莱"	"亚洲"	"12.14"	"False"	"0"	"0"	"152"	"0"	"3"	"147"	"2"	"0"	"0"	"0"	"0"
"安提瓜和巴布达"	"北美洲"	"12.14"	"False"	"0"	"0"	"148"	"0"	"5"	"138"	"5"	"0"	"-1"	"0"	"1"
"圣文森特和格林纳丁斯"	"北美洲"	"12.14"	"False"	"4"	"0"	"98"	"0"	"0"	"81"	"17"	"4"	"4"	"0"	"0"
"多米尼克"	"北美洲"	"12.14"	"False"	"1"	"0"	"88"	"0"	"0"	"83"	"5"	"1"	"-1"	"2"	"0"
"格林纳达"	"北美洲"	"12.14"	"False"	"26"	"0"	"69"	"0"	"0"	"41"	"28"	"26"	"26"	"0"	"0"
"斐济"	"大洋洲"	"12.14"	"False"	"2"	"0"	"46"	"0"	"2"	"38"	"6"	"2"	"-1"	"3"	"0"
"老挝"	"亚洲"	"12.14"	"False"	"0"	"0"	"41"	"0"	"0"	"34"	"7"	"0"	"-1"	"1"	"0"
"马提尼克岛"	"北美洲"	"03.23"	"False"	"0"	"0"	"37"	"0"	"1"	"0"	"36"	"0"	"0"	"0"	"0"
"东帝汶"	"亚洲"	"12.14"	"False"	"0"	"0"	"31"	"0"	"0"	"30"	"1"	"0"	"0"	"0"	"0"
"圣基茨和尼维斯"	"北美洲"	"12.14"	"False"	"0"	"0"	"27"	"0"	"0"	"23"	"4"	"0"	"0"	"0"	"0"
"梵蒂冈"	"欧洲"	"12.14"	"False"	"0"	"0"	"27"	"0"	"0"	"15"	"12"	"0"	"0"	"0"	"0"
"所罗门群岛"	"大洋洲"	"12.14"	"False"	"0"	"0"	"17"	"0"	"0"	"5"	"12"	"0"	"0"	"0"	"0"
"马绍尔群岛"	"大洋洲"	"12.14"	"False"	"0"	"0"	"4"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"
"瓦努阿图"	"大洋洲"	"12.14"	"False"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
